Genre,n Movies,Hit Rate,F1-Score,Accuracy
Horror,951,0.534,0.68,0.651
Music,183,0.525,0.556,0.5
Romance,424,0.507,0.611,0.65
Adventure,663,0.463,0.717,0.734
Comedy,2771,0.459,0.682,0.715
Action,1839,0.457,0.684,0.717
Family,287,0.453,0.698,0.735
Animation,467,0.441,0.747,0.769
Mystery,146,0.438,0.455,0.636
Fantasy,255,0.431,0.679,0.685
Science Fiction,318,0.418,0.644,0.704
Crime,590,0.414,0.571,0.647
War,128,0.398,0.769,0.87
Thriller,534,0.393,0.635,0.691
Documentary,262,0.385,0.414,0.66
Drama,3271,0.377,0.552,0.71
